"","cloud_cover","cloud_cover_anom","cloud_cover_lanom","lon","lat","month","is_land","resid","proj_x","proj_y","loc_ind"
"163",52.1048387096774,-0.811749551971332,-0.00924879646979049,180,2.85710000991821,1,FALSE,-4.1976561447827,1.98805736276532,0.0391582901112257,163
"170",59.5483870967742,-6.83699436763953,-0.103910145699129,-148.125,44.761100769043,1,FALSE,0.387622913840569,-1.33826964123892,0.589166220976401,170
"175",49.9112903225806,-0.997142217101889,-0.0122698030178765,28.125,63.8078994750977,1,TRUE,-0.258574686718362,0.180504116958563,0.801845907564883,175
"185",74.5806451612903,15.6910522273426,0.253814462353572,31.875,-65.7125015258789,1,FALSE,15.865780808197,0.196309567052118,-0.820892757196919,185
"214",65.7177419354839,10.2595094086021,0.173362480500568,-138.75,8.57131004333496,1,FALSE,10.3824206322113,-1.54136386461066,0.117325644629951,214
"217",64.8951612903226,-10.6690268177163,-0.147359060669531,-127.5,27.6186008453369,1,FALSE,8.96117495746415,-1.3241315241949,0.372932224183756,217
"219",64.3387096774194,3.26394809267794,0.0560808531504788,-176.25,61.9033012390137,1,FALSE,5.71007056227368,-1.22626168348963,0.782330867920609,219
"226",70.7258064516129,3.1018097158218,0.044964345597621,5.625,-44.761100769043,1,FALSE,8.45412240035952,0.0420839509823559,-0.589166220976401,226
"229",46.2177419354839,-5.81287122375832,-0.103687475779127,-170.625,10.4760398864746,1,FALSE,-8.92959117089816,-1.88657714693488,0.143296420772171,229
"235",62.3870967741936,-3.54885112647209,-0.0523238562210793,-88.125,-61.9033012390137,1,FALSE,0.394186113784061,-0.616374920272564,-0.782330867920609,235
"243",61.758064516129,5.78170122887865,0.100316305758972,172.5,-40.9516983032227,1,TRUE,26.2323836162988,1.60106696641742,-0.542735018565535,243
"245",47.1612903225806,-9.62694732462877,-0.164764958580822,-110.625,-29.5233993530273,1,FALSE,-7.85398021375516,-1.13729278284623,-0.397782161106919,245
"246",55.5241935483871,-1.93725198412699,-0.031212517792933,-172.5,-39.0470008850098,1,FALSE,-3.99175386854669,-1.64706595440095,-0.519132647565433,246
